InstText,Instructions.thisRepN,Instructions.thisTrialN,Instructions.thisN,Instructions.thisIndex,VidTrials.thisRepN,VidTrials.thisTrialN,VidTrials.thisN,VidTrials.thisIndex,Show,VideoClip,VictimImg,AccusedImg,VictimName,AccusedName,Background,Space1.rt,Space2.rt,RoleText,y coord list,y coord,axes data,InnocentCertaintyRatings,Total CertaintyRatings,Certainty Ratings List Green,RoutineTimer Green,Routine Timer Total,GuiltyCertaintyRatings,Certainty Ratings List Red,Routine Timer Red,Participant,date,expName,psychopyVersion,frameRate
"In this part of the study, you will be watching clips of television shows and making continous assessments about your thoughts regarding one of the characters. 

 Press SPACE to continue.",0,0,0,0,,,,,,,,,,,,0.7438376,,,,,,,,,,,,,,1,2021_Mar_25_2250,Certainty Task,2021.1.2,59.78858755
"You will first be presented with a little background for the clip - each video you watch will be from a murder mystery show, in which one character has been accused of the crime. 

You will be given information about the accused, the victim, and surrounding context for the video. 


 Press SPACE to continue.",0,1,1,1,,,,,,,,,,,,0.1619165,,,,,,,,,,,,,,1,2021_Mar_25_2250,Certainty Task,2021.1.2,59.78858755
"You will also be instructed to take on a specific role while watching each video, in that you will be prompted to imagine yourself as having some relationship with the characters in the scene. 
You will be instructed to imagine that you are: 

 -a friend of the accused,

-a friend of the victim, or

 - a detective

While watching the video, please maintain this role. Press SPACE to continue.",0,2,2,2,,,,,,,,,,,,0.2320725,,,,,,,,,,,,,,1,2021_Mar_25_2250,Certainty Task,2021.1.2,59.78858755
"We also ask that while watching the video, you make continuous judgments of your feelings toward the accused. Specifically, we ask you to evaluate how certain you are that the accused is innocent of the crime or guilty of the crime. 

These assessments tend to be flexible, and may shift upon hearing something the character says or seeing something the character does. We ask that you update your assessments at any point where your feelings of certainty of the character's guilt/innocence changes. 

Press SPACE to continue.",0,3,3,3,,,,,,,,,,,,0.0773319,,,,,,,,,,,,,,1,2021_Mar_25_2250,Certainty Task,2021.1.2,59.78858755
"You can use the 'up' arrow key on your keyboard to indicate feelings of certainty that the character is innocent, and the 'down' arrow key on your keyboard to indicate feelings of certainty that the character is guilty.

Furthermore, as you may feel more or less certain throughout the clip, please accordingly use your arrow keys to represent your current degree of certainty. That is, if you're feeling more certain of a character's innocence or guilt, please press your arrow keys to move further in the direction of your evaluation.

Press SPACE to continue.",0,4,4,4,,,,,,,,,,,,0.1892788,,,,,,,,,,,,,,1,2021_Mar_25_2250,Certainty Task,2021.1.2,59.78858755
"The clips you will be watching are sourced from shows that have been streamed or broadcast on television. 
The clips may contain adult themes and graphic language. While these clips will portray a character accused of a violent crime, as well as verbal descriptions of the crime, the crimes themselves will not be shown, nor will any other graphic visual content. 

When you are ready to receive the background information for the first clip, press SPACE.",0,5,5,5,,,,,,,,,,,,0.4236168,,,,,,,,,,,,,,1,2021_Mar_25_2250,Certainty Task,2021.1.2,59.78858755
,,,,,,,,,,,,,,,,,1.8399497,"Imagine that you are a 
friend of the accused","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.7314106965743497, -0.7314106965743497, -0.7114213778896773, -0.7114213778896773, -0.739986266880293, -0.739986266880293, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, 0.27873655298695343, 0.27873655298695343, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, 0.7647058823529411, 0.7647058823529411, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, 0.3298847943846799, 0.3298847943846799, 0.8926070038910505, 0.8926070038910505, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05, -4.57770656900891e-05]",-4.58E-05,"[0, -4.57770656900891e-05, 0, 0, -4.57770656900891e-05, 0]",1,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '30', '29', '28', '27', '26', '25', '24', '23', '22', '21', '20', '19', '18', '17', '16', '15', '14', '13', '12', '11', '10', '9', '8', '7', '6', '5', '4', '3', '2', '1',' -2', '-3', '-4', '-5', '-6', '-7', '-8', '-9', '-10', '-11', '-12', '-12', '-12', '-12', '-12', '-12', '-12', '-12', '-12', '-12', '-12', '-12', '-12', '-12', '-11', '-10', '-9', '-8', '-7', '-6', '-5', '-4', '-3', '-2', '-1', '1', '2', '3', '4', '5', '6', '7', '7', '7', '7', '7', '7', '7', '8', '8', '8', '8', '9', '9', '10', '11', '10', '9',  '8', '9', '10', '11', '10', '9', '8', '7', '6', '5', '4', '3', '2', '1'  ,' -2', '-3', '-4', '-5', '-6', '-7', '-8', '-9', '-10', '-11', '-12', '-12','-12', '-13', '-14', '-15', '-16', '-17', '-16', '-15', '-14',  '-13', '-14', '-15', '-16', '-17', '-18', '-19', '-20', '-21', '-22', '-23', '-24', '-25', '-26', '-27', '-27', '-27', '-27', '-27', '-27', '-27', '-27', '-27', '-27', '-27', '-27', '-27', '-27', '-27', '-28', '-29', '-30', '-31', '-32', '-33', '-34', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35','-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35', '-35','-36', '-37', '-38', '-38', '-38', '-39', '-40', '-41', '-41', '-41', '-41', '-42', '-43', '-44','-44','-44','-44','-44','-44','-44','-44','-44','-44','-44','-44','-44','-44','-44','-44','-44','-44','-44','-44','-44','-44','-44','-44','-44','-44', '-45', '-46', '-47', '-48', '-49', '-50', '-51', '-52', '-53', '-54', '-55', '-56', '-57', '-58', -'58',  '-58', -'58',  '-58', -'58',  '-58', -'58',  '-58', -'58',  '-58', -'58',  '-58', -'58',  '-58', -'58',  '-58', -'58']","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '30', '29', '28', '27', '26', '25', '24', '23', '22', '21', '20', '19', '18', '17', '16', '15', '14', '13', '12', '11', '10', '9', '8', '7', '6', '5', '4', '3', '2', '1']","[7.8472803001786815, 7.946780300189857, 8.017921400183695, 8.099731900190818, 8.170065000187606, 8.236277100178995, 8.304625300181215, 8.376197200181196, 8.44200100019225, 8.514699700186611, 8.58289230018272, 8.647885400190717, 8.716184500182862, 8.791450800184975, 8.856115300179226, 8.910075500185485, 8.953595200189739, 9.00164740018954, 9.047255400189897, 9.091571100187139, 9.1374730001844, 9.184557900181971, 9.230640300185769, 9.276164300186792, 9.322487500190618, 9.370746000189683, 9.41763410018757, 9.461184100189712, 9.520639500187826, 9.568286100184196, 9.631676800185232, 9.695605000189971, 9.751539700184367, 9.809850300182006, 9.86983250018966, 9.930143200181192, 9.987694700190332, 10.045336000184761, 10.102952900182572, 10.160107200179482, 10.220056700185523, 10.274289700188092, 10.333527700189734, 10.401307000181987, 10.46727540018037, 10.532678500181646, 10.598514300188981, 10.665162300181692, 10.727486100178794, 10.802529100183165, 10.869841400184669, 10.937032200192334, 11.002568600189989, 11.069291300183977, 11.123752000188688, 11.169411900191335, 11.215536900184816, 11.26274360017851, 11.309564700190094, 11.355136000187485, 11.402025800183765, 11.448710500189918, 11.496893000192358, 11.556935400192742, 11.615602000179933, 11.673786400191602, 11.73616400019091, 11.796850800179527, 11.853585400182055, 11.914376700180583, 11.97281980018306, 12.033756000178983]","[7.8472803001786815, 7.946780300189857, 8.017921400183695, 8.099731900190818, 8.170065000187606, 8.236277100178995, 8.304625300181215, 8.376197200181196, 8.44200100019225, 8.514699700186611, 8.58289230018272, 8.647885400190717, 8.716184500182862, 8.791450800184975, 8.856115300179226, 8.910075500185485, 8.953595200189739, 9.00164740018954, 9.047255400189897, 9.091571100187139, 9.1374730001844, 9.184557900181971, 9.230640300185769, 9.276164300186792, 9.322487500190618, 9.370746000189683, 9.41763410018757, 9.461184100189712, 9.520639500187826, 9.568286100184196, 9.631676800185232, 9.695605000189971, 9.751539700184367, 9.809850300182006, 9.86983250018966, 9.930143200181192, 9.987694700190332, 10.045336000184761, 10.102952900182572, 10.160107200179482, 10.220056700185523, 10.274289700188092, 10.333527700189734, 10.401307000181987, 10.46727540018037, 10.532678500181646, 10.598514300188981, 10.665162300181692, 10.727486100178794, 10.802529100183165, 10.869841400184669, 10.937032200192334, 11.002568600189989, 11.069291300183977, 11.123752000188688, 11.169411900191335, 11.215536900184816, 11.26274360017851, 11.309564700190094, 11.355136000187485, 11.402025800183765, 11.448710500189918, 11.496893000192358, 11.556935400192742, 11.615602000179933, 11.673786400191602, 11.73616400019091, 11.796850800179527, 11.853585400182055, 11.914376700180583, 11.97281980018306, 12.033756000178983, 12.095769000181463, 12.158421100190026, 12.21963920017879, 12.290080300183035, 12.348717600179953, 12.40664110018406, 12.466052000192576, 12.526238200181979, 12.583427500183461, 12.642747400182998, 12.701674400188494, 12.7594362001837, 12.808802300191019, 12.861762300191913, 12.91365960019175, 12.965734900179086, 13.017922100189026, 13.067033500192338, 13.116600700188428, 13.1741547001875, 13.229660600190982, 13.287062100178446, 13.344843900180422, 13.402014400184271, 13.460560100182192, 13.52778360019147, 13.585129300190601, 13.624757400189992, 13.665800000191666, 13.730525000180933, 13.796707500179764, 13.865201700187754, 13.934072100179037, 13.999146000191104, 14.067749400186585, 14.134873200178845, 14.206212300181505, 14.266707700182451, 14.30839410018234, 14.351514800189761, 14.387794800190022, 14.424170300189871, 14.464073200186249, 14.501180800187285, 14.540443700185278, 14.614681000181008, 14.680347800182062, 14.73676670018176, 14.792583500180626, 14.85329890018329, 14.918764800182544, 14.9778646001796, 15.036412500179722, 15.093960300189792, 15.16148110019276, 15.226489300184767, 15.290484800192644, 15.356071700181928, 15.422728800185723, 15.489645400186419, 15.557018500185222, 15.622808400192298, 15.684080200182507, 15.744974400178762, 15.80549360018631, 15.868584600189934, 15.926619000179926, 15.968684300183668, 16.003536600182997, 16.039035000183503, 16.074225600183127, 16.110581700180774, 16.15040050019161, 16.2020974001789, 16.260874800180318, 16.31932200018491, 16.38343770019128, 16.44479030018556, 16.511436300192145, 16.58377290017961, 16.65318310019211, 16.720352100179298, 16.779739500183496, 16.83933270018315, 16.90556040019146, 16.95261690019106, 17.000458100184915, 17.041519900187268, 17.082438800192904, 17.12157900018792, 17.16931590018794, 17.23595650018251, 17.29673390019161, 17.349959900180693, 17.40252870018594, 17.45607980019122, 17.512061100191204, 17.565836100184242, 17.618991100185667, 17.67372620018432, 17.728079600186902, 17.782588900183327, 17.83406720017956, 17.88678670018271, 17.941284900181927, 17.995630600184086, 18.055800000191084, 18.116083400178468, 18.17759030018351, 18.23768800018297, 18.30004490018473, 18.367856300188578, 18.4367918001808, 18.506704300190904, 18.576748400184442, 18.64884470019024, 18.715604100187193, 18.783122500186437, 18.856710200183443, 18.923659400184988, 18.987736500188475, 19.048670900185243, 19.106838100182358, 19.16702030018496, 19.225963700184366, 19.286540000190143]",58,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '30', '29', '28', '27', '26', '25', '24', '23', '22', '21', '20', '19', '18', '17', '16', '15', '14', '13', '12', '11', '10', '9', '8', '7', '6', '5', '4', '3', '2', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '12', '12', '12', '12', '12', '12', '12', '12', '12', '12', '12', '12', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '28', '29', '30', '31', '32', '33', '34', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '36', '37', '38', '38', '38', '39', '40', '41', '41', '41', '41', '42', '43', '44', '44', '44', '44', '44', '44', '44', '44', '44', '44', '44', '44', '44', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '58', '58', '58', '58', '58', '58', '58']","[12.095769000181463, 12.158421100190026, 12.21963920017879, 12.290080300183035, 12.348717600179953, 12.40664110018406, 12.466052000192576, 12.526238200181979, 12.583427500183461, 12.642747400182998, 12.701674400188494, 12.7594362001837, 12.808802300191019, 12.861762300191913, 12.91365960019175, 12.965734900179086, 13.017922100189026, 13.067033500192338, 13.116600700188428, 13.1741547001875, 13.229660600190982, 13.287062100178446, 13.344843900180422, 13.402014400184271, 13.460560100182192, 13.52778360019147, 13.585129300190601, 13.624757400189992, 13.665800000191666, 13.730525000180933, 13.796707500179764, 13.865201700187754, 13.934072100179037, 13.999146000191104, 14.067749400186585, 14.134873200178845, 14.206212300181505, 14.266707700182451, 14.30839410018234, 14.351514800189761, 14.387794800190022, 14.424170300189871, 14.464073200186249, 14.501180800187285, 14.540443700185278, 14.614681000181008, 14.680347800182062, 14.73676670018176, 14.792583500180626, 14.85329890018329, 14.918764800182544, 14.9778646001796, 15.036412500179722, 15.093960300189792, 15.16148110019276, 15.226489300184767, 15.290484800192644, 15.356071700181928, 15.422728800185723, 15.489645400186419, 15.557018500185222, 15.622808400192298, 15.684080200182507, 15.744974400178762, 15.80549360018631, 15.868584600189934, 15.926619000179926, 15.968684300183668, 16.003536600182997, 16.039035000183503, 16.074225600183127, 16.110581700180774, 16.15040050019161, 16.2020974001789, 16.260874800180318, 16.31932200018491, 16.38343770019128, 16.44479030018556, 16.511436300192145, 16.58377290017961, 16.65318310019211, 16.720352100179298, 16.779739500183496, 16.83933270018315, 16.90556040019146, 16.95261690019106, 17.000458100184915, 17.041519900187268, 17.082438800192904, 17.12157900018792, 17.16931590018794, 17.23595650018251, 17.29673390019161, 17.349959900180693, 17.40252870018594, 17.45607980019122, 17.512061100191204, 17.565836100184242, 17.618991100185667, 17.67372620018432, 17.728079600186902, 17.782588900183327, 17.83406720017956, 17.88678670018271, 17.941284900181927, 17.995630600184086, 18.055800000191084, 18.116083400178468, 18.17759030018351, 18.23768800018297, 18.30004490018473, 18.367856300188578, 18.4367918001808, 18.506704300190904, 18.576748400184442, 18.64884470019024, 18.715604100187193, 18.783122500186437, 18.856710200183443, 18.923659400184988, 18.987736500188475, 19.048670900185243, 19.106838100182358, 19.16702030018496, 19.225963700184366, 19.286540000190143]",,,,,
